MT-TF	ENSG00000210049
LINC01493	ENSG00000254562
LINC02478	ENSG00000285373
PLCXD2	ENSG00000240891
SLC25A13	ENSG00000004864
RNF222	ENSG00000189051
ITGB6	ENSG00000115221
RPS10P21	ENSG00000232881
RNASEH2B	ENSG00000136104
RPL18AP17	ENSG00000227952
RPL21P110	ENSG00000226617
CDC42	ENSG00000070831
TRAPPC2P5	ENSG00000225256
RAB9AP2	ENSG00000223856
PHLDB2	ENSG00000144824
ARID3A	ENSG00000116017
GPHN	ENSG00000171723
RPS17P14	ENSG00000243287
SUPT4H1P1	ENSG00000226247
EIF3E	ENSG00000104408
MRPL19	ENSG00000115364
ANKDD1A	ENSG00000166839
RPS29P15	ENSG00000235926
AATK	ENSG00000181409
TPM3P7	ENSG00000187536
PTGES3P2	ENSG00000217643
ASXL2	ENSG00000143970
KRT8P25	ENSG00000239829
UPF2	ENSG00000151461
RPL26P28	ENSG00000223987
APOOP2	ENSG00000240902
PSMC1P6	ENSG00000240255
DDX18P5	ENSG00000255220
ZBTB44	ENSG00000196323
MZT1	ENSG00000204899
UCN3	ENSG00000178473
USP9YP30	ENSG00000235004
HTR1F	ENSG00000179097
BORA	ENSG00000136122
USP9YP9	ENSG00000232614
CKLF-CMTM1	ENSG00000254788
TTTY3	ENSG00000231141
LINC01635	ENSG00000228397
CELA3B	ENSG00000219073
PRODH2	ENSG00000250799
TPRKB	ENSG00000144034
GCFC2	ENSG00000005436
CENPJ	ENSG00000151849
LINC01320	ENSG00000228262
CKLF	ENSG00000217555
TIGD2	ENSG00000180346
MAPK7	ENSG00000166484
CDC42-IT1	ENSG00000230068
CELA3A	ENSG00000142789
SLC25A5P2	ENSG00000235064
GPRIN3	ENSG00000185477
MYADML	ENSG00000239649
LINC01318	ENSG00000237790
ZSCAN22	ENSG00000182318
TUBAL3	ENSG00000178462
UQCC2	ENSG00000137288
SGCE	ENSG00000127990
KCNQ4	ENSG00000117013
LAD1	ENSG00000159166
PLEKHO2	ENSG00000241839
LINC00339	ENSG00000218510
PMS2P4	ENSG00000067601
PVALEF	ENSG00000225180
LYPD6	ENSG00000187123
GLRB	ENSG00000109738
LINC01787	ENSG00000231987
C3orf38	ENSG00000179021
THAP11	ENSG00000168286
UBE2WP1	ENSG00000234422
BAIAP2	ENSG00000175866
EEF1A1P11	ENSG00000228502
NDUFS5P2	ENSG00000234226
CMTM1	ENSG00000089505
RPLP0P11	ENSG00000239780
LINC02517	ENSG00000249145
SAV1	ENSG00000151748
CENPT	ENSG00000102901
RPL7P9	ENSG00000137970
ZNF654	ENSG00000175105
FAM236C	ENSG00000283594
FLOT2	ENSG00000132589
FAM236A	ENSG00000275520
LINC00861	ENSG00000245164
DMRTC1	ENSG00000269502
PIBF1	ENSG00000083535
CGGBP1	ENSG00000163320
MGMT	ENSG00000170430
RPS12P20	ENSG00000244134
RPL32P33	ENSG00000243514
NONO	ENSG00000147140
ATL1	ENSG00000198513
SOD1P3	ENSG00000253651
ARAP1	ENSG00000186635
KNOP1P5	ENSG00000250563
LINC02045	ENSG00000243347
HNRNPA1P20	ENSG00000205412
RFPL4AP5	ENSG00000248720
MTHFD2P5	ENSG00000213530
ALCAM	ENSG00000170017
HMGB3P32	ENSG00000260828
CBX5P1	ENSG00000241535
GAGE12J	ENSG00000224659
TNNT2	ENSG00000118194
ZNF2	ENSG00000275111
CHST2	ENSG00000175040
B9D1	ENSG00000108641
STAG3L4	ENSG00000106610
SH3TC2	ENSG00000169247
SUPV3L1	ENSG00000156502
ADD1	ENSG00000087274
CCDC196	ENSG00000196553
USP9YP19	ENSG00000225326
XKRYP5	ENSG00000223406
KIAA1549	ENSG00000122778
CDY22P	ENSG00000229343
GAGE10	ENSG00000215274
DIS3	ENSG00000083520
MIR5689HG	ENSG00000229401
FAM120C	ENSG00000184083
OSBPL2	ENSG00000130703
LINC00518	ENSG00000183674
EML1	ENSG00000066629
ELOCP17	ENSG00000232695
OFD1P18Y	ENSG00000235511
MRPL48P1	ENSG00000238076
TRAPPC2P4	ENSG00000232914
LINC02522	ENSG00000231056
RAB9AP3	ENSG00000223655
HERC2P4	ENSG00000230267
A1BG-AS1	ENSG00000268895
LGALS9DP	ENSG00000266786
HES2	ENSG00000069812
LINC02666	ENSG00000283141
PIP4K2C	ENSG00000166908
RAB11FIP1	ENSG00000156675
A1BG	ENSG00000121410
IFI44L	ENSG00000137959
MAP4K5	ENSG00000012983
PCLO	ENSG00000186472
TPMTP2	ENSG00000234562
TRAK1	ENSG00000182606
LRP1B	ENSG00000168702
AFM	ENSG00000079557
HK3	ENSG00000160883
PLCXD2-AS1	ENSG00000240766
ZNF691	ENSG00000164011
ZNF497	ENSG00000174586
MUC3A	ENSG00000169894
ATP6V0A4	ENSG00000105929
SLC25A15P3	ENSG00000251299
TPTE2P1	ENSG00000253771
MRPS34	ENSG00000074071
SECTM1	ENSG00000141574
GABRB2	ENSG00000145864
F8A1	ENSG00000277203
LINC00106	ENSG00000236871
F8	ENSG00000185010
UNC5A	ENSG00000113763
PSMA5	ENSG00000143106
ASMTL-AS1	ENSG00000236017
PBX2P1	ENSG00000244171
USP9YP20	ENSG00000230854
USP9YP21	ENSG00000227635
ASMTL	ENSG00000169093
XKRYP6	ENSG00000237546
LINC01707	ENSG00000223883
TGFBR1	ENSG00000106799
SLC4A1	ENSG00000004939
PRYP4	ENSG00000172283
CCDC85B	ENSG00000175602
GOLGA8UP	ENSG00000103832
GAGE2E	ENSG00000275113
ELOCP11	ENSG00000227867
LINC02499	ENSG00000250436
CDY23P	ENSG00000231716
GAGE13	ENSG00000274274
RPL34P27	ENSG00000232858
GADD45GIP1	ENSG00000179271
LSP1P1	ENSG00000269099
USP9YP26	ENSG00000234744
PPIAP50	ENSG00000261330
DTX3	ENSG00000178498
TRMT112P2	ENSG00000249778
VAT1L	ENSG00000171724
RAD23A	ENSG00000179262
PLEKHJ1	ENSG00000104886
PABPC3	ENSG00000151846
GAGE12B	ENSG00000236737
THBS4	ENSG00000113296
FOSL1	ENSG00000175592
SNRPGP1	ENSG00000258577
HSFY8P	ENSG00000233156
LINC01438	ENSG00000249519
HERC2P10	ENSG00000259845
LYPLA1P2	ENSG00000251483
SUPT16HP1	ENSG00000256238
SEC22B	ENSG00000265808
EBF3	ENSG00000108001
MTCYBP32	ENSG00000229794
MTCO3P19	ENSG00000224471
MGST1	ENSG00000008394
LOXHD1	ENSG00000167210
MTND1P32	ENSG00000232282
MTND5P26	ENSG00000234886
MTCO2P19	ENSG00000237628
OFD1P15Y	ENSG00000234888
MTCO1P19	ENSG00000237300
ZDHHC2	ENSG00000104219
MTND4P32	ENSG00000226056
AMER2	ENSG00000165566
LINC00630	ENSG00000223546
CLEC3A	ENSG00000166509
RBMY2DP	ENSG00000215507
CCDC34P1	ENSG00000250556
LINC00463	ENSG00000234056
RPL12P15	ENSG00000230993
MTND2P2	ENSG00000229954
NIFK	ENSG00000155438
MTATP6P19	ENSG00000228316
GABRA6	ENSG00000145863
MTND6P32	ENSG00000227649
KRT8P22	ENSG00000260731
GAPDHP47	ENSG00000243033
ST13P15	ENSG00000243759
SLC9A9	ENSG00000181804
H2AFB1	ENSG00000274183
SNCA-AS1	ENSG00000247775
RPL29P11	ENSG00000224858
FUNDC2	ENSG00000165775
ATP2B3	ENSG00000067842
MUC12	ENSG00000205277
CKMT1A	ENSG00000223572
SNCA	ENSG00000145335
NIFK-AS1	ENSG00000236859
SF3A2	ENSG00000104897
LINC01758	ENSG00000229639
TMEM136	ENSG00000181264
EZH2	ENSG00000106462
NPM1P32	ENSG00000213239
CCDC83	ENSG00000150676
CTBP2P2	ENSG00000235746
LMO3	ENSG00000048540
TUBB8P3	ENSG00000250307
TMEM213	ENSG00000214128
SLC9A9-AS2	ENSG00000244493
EEF1A1P31	ENSG00000237859
MTND4P15	ENSG00000227321
SLC9A9-AS1	ENSG00000240012
SPTLC1	ENSG00000090054
NBPF8	ENSG00000270231
ANKRD54	ENSG00000100124
PFN1P2	ENSG00000270392
MTND4P19	ENSG00000230338
CYP2C18	ENSG00000108242
NECAB2	ENSG00000103154
SYPL2	ENSG00000143028
GAGE12C	ENSG00000237671
GPD2	ENSG00000115159
CASC19	ENSG00000254166
RAB33A	ENSG00000134594
ATP6V1E1P1	ENSG00000225099
SLC25A1P1	ENSG00000254479
DTNA	ENSG00000134769
CYP2C19	ENSG00000165841
GAGE12D	ENSG00000227488
ATXN7L2	ENSG00000162650
IGF2BP2-AS1	ENSG00000163915
CNTFR	ENSG00000122756
DOT1L	ENSG00000104885
NABP2	ENSG00000139579
LRRC4C	ENSG00000148948
IGF2BP2	ENSG00000073792
OR10B1P	ENSG00000267961
RPL37P4	ENSG00000230198
DUSP11	ENSG00000144048
TEX19	ENSG00000182459
RB1CC1	ENSG00000023287
ABCA9-AS1	ENSG00000231749
ABCA9	ENSG00000154258
RAB40AL	ENSG00000102128
NBPF26	ENSG00000273136
CITED4	ENSG00000179862
CASC8	ENSG00000246228
MUC17	ENSG00000169876
PRNCR1	ENSG00000282961
FAM84B	ENSG00000168672
KCNK15-AS1	ENSG00000244558
NSD2	ENSG00000109685
MTND4LP7	ENSG00000240791
MTCO3P29	ENSG00000228069
MTATP6P29	ENSG00000232179
KCNK15	ENSG00000124249
MTND3P23	ENSG00000238288
PCAT1	ENSG00000253438
HSPE1P22	ENSG00000237306
LINC01260	ENSG00000283440
CCN5	ENSG00000064205
C10orf143	ENSG00000237489
GPRACR	ENSG00000196979
ESPN	ENSG00000187017
C11orf94	ENSG00000234776
DAND5	ENSG00000179284
LINC01053	ENSG00000238169
CTAGE7P	ENSG00000233122
REREP2Y	ENSG00000235014
LINC01076	ENSG00000225105
RPL23AP69	ENSG00000235315
NCS1	ENSG00000107130
PPP1R12BP1	ENSG00000229238
GLP1R	ENSG00000112164
BEX1	ENSG00000133169
CYCSP48	ENSG00000233843
CYCSP49	ENSG00000224240
POU5F1B	ENSG00000212993
ANKRD36P1	ENSG00000188399
RIMS4	ENSG00000101098
EXOC4	ENSG00000131558
TPTE2P4	ENSG00000215506
TEAD3	ENSG00000007866
GAGE12G	ENSG00000215269
CCAT2	ENSG00000280997
RPSAP45	ENSG00000219773
CLEC10A	ENSG00000132514
KRT18P65	ENSG00000215807
FEM1AP3	ENSG00000217770
EIF3L	ENSG00000100129
CYB561D1	ENSG00000174151
C1QBPP1	ENSG00000215353
LINC01683	ENSG00000233480
LINC02573	ENSG00000233236
LINC01931	ENSG00000162947
DNAJC6	ENSG00000116675
MMADHC	ENSG00000168288
GAGE1	ENSG00000205777
CCDC112	ENSG00000164221
CNTFR-AS1	ENSG00000237159
ABCA8	ENSG00000141338
NDUFB4P4	ENSG00000217718
MTATP6P21	ENSG00000226392
UTS2R	ENSG00000181408
AGRN	ENSG00000188157
MTCO3P41	ENSG00000237466
ARFGAP3	ENSG00000242247
FAM241A	ENSG00000174749
TRIM56	ENSG00000169871
MTCO1P57	ENSG00000232975
MRPL50P1	ENSG00000234587
RPS27AP8	ENSG00000237483
MTND4P3	ENSG00000225959
DHRS13	ENSG00000167536
FNDC3B	ENSG00000075420
TARSL2	ENSG00000185418
CACNA1G	ENSG00000006283
SERPINE1	ENSG00000106366
GAGE12E	ENSG00000216649
TEX21P	ENSG00000234911
TRAFD1	ENSG00000135148
SMC1B	ENSG00000077935
PLEKHG5	ENSG00000171680
UBE2V1P8	ENSG00000233118
AMIGO1	ENSG00000181754
FAM237B	ENSG00000283267
MOCS1P1	ENSG00000260347
GPR61	ENSG00000156097
GAGE12H	ENSG00000224902
MSANTD2	ENSG00000120458
RBM7	ENSG00000076053
COX6CP13	ENSG00000234144
VAV2	ENSG00000160293
NDEL1	ENSG00000166579
GAGE2A	ENSG00000189064
FEZ2	ENSG00000171055
GAGE12F	ENSG00000236362
PRSS8	ENSG00000052344
NXF3	ENSG00000147206
HMGN1P15	ENSG00000250197
GFI1	ENSG00000162676
H2AFX	ENSG00000188486
COX5BP3	ENSG00000235967
ABHD17AP8	ENSG00000260540
UBE2V1P14	ENSG00000228134
IDO1	ENSG00000131203
SLC38A8	ENSG00000166558
RP9	ENSG00000164610
ZNF527	ENSG00000189164
KLRG1	ENSG00000139187
LYRM9	ENSG00000232859
RPS2P44	ENSG00000243609
FDPSP6	ENSG00000233676
KRT18P2	ENSG00000234439
PACSIN2	ENSG00000100266
NFAT5	ENSG00000102908
NOTCH3	ENSG00000074181
NET1	ENSG00000173848
KRT9	ENSG00000171403
FABP5P6	ENSG00000249919
RPL7AP71	ENSG00000234566
FAM170A	ENSG00000164334
WNK3	ENSG00000196632
LSM3P5	ENSG00000260014
LRRC40	ENSG00000066557
RPSAP7	ENSG00000237032
REXO2	ENSG00000076043
NOS2	ENSG00000007171
WWOX-AS1	ENSG00000260969
PPIAP52	ENSG00000270606
FAM107B	ENSG00000065809
SLC2A1	ENSG00000117394
SLC39A5	ENSG00000139540
MYH10	ENSG00000133026
RPS3P7	ENSG00000243101
C2orf27AP3	ENSG00000230804
WWOX	ENSG00000186153
CD8A	ENSG00000153563
HECTD4	ENSG00000173064
LARP1	ENSG00000155506
LRRC7	ENSG00000033122
AP1S1	ENSG00000106367
NPR1	ENSG00000169418
IDO2	ENSG00000188676
CERS4	ENSG00000090661
RPL35AP28	ENSG00000242041
LEPR	ENSG00000116678
RPS3AP1	ENSG00000233206
DLEU1	ENSG00000176124
LINC00320	ENSG00000224924
FCF1P10	ENSG00000218490
SOCS5P5	ENSG00000216904
PPIAP1	ENSG00000215351
MERTK	ENSG00000153208
DHTKD1	ENSG00000181192
NPBWR1	ENSG00000183729
ANKRD18EP	ENSG00000217165
SAYSD1	ENSG00000112167
CMTM2	ENSG00000140932
OPRK1	ENSG00000082556
SLC2A1-AS1	ENSG00000227533
KIF3C	ENSG00000084731
ATP6V0CP4	ENSG00000284138
ANKRD52	ENSG00000139645
VGF	ENSG00000128564
RAB40B	ENSG00000141542
SESN1	ENSG00000080546
AP1AR	ENSG00000138660
PABPN1L	ENSG00000205022
NAT16	ENSG00000167011
CTNNA1P1	ENSG00000249026
AK3P4	ENSG00000248722
PLXNB2	ENSG00000196576
EPHX3	ENSG00000105131
EVI5	ENSG00000067208
RPSAP59	ENSG00000233071
LINC02518	ENSG00000232316
RPS27AP11	ENSG00000218208
SPSB3	ENSG00000162032
LINC02541	ENSG00000230943
PPIF	ENSG00000108179
LINC01817	ENSG00000231420
LINC01818	ENSG00000230645
RPL7AP60	ENSG00000213152
PPARG	ENSG00000132170
ZC3HAV1L	ENSG00000146858
SGO1P1	ENSG00000270615
PIN1P1	ENSG00000229359
CCT5P1	ENSG00000250444
CASP2	ENSG00000106144
PPIAP32	ENSG00000233319
CCNQ	ENSG00000262919
TNNI1	ENSG00000159173
P2RY8	ENSG00000182162
TP53TG3D	ENSG00000205456
MBTPS1	ENSG00000140943
IL13RA1	ENSG00000131724
PRR30	ENSG00000186143
MRFAP1	ENSG00000179010
GAPDHP25	ENSG00000213594
CCNJP2	ENSG00000223896
HMGB3P9	ENSG00000229992
TVP23CP1	ENSG00000223584
AKAP17A	ENSG00000197976
TCF23	ENSG00000163792
ZNF837	ENSG00000152475
PTP4A1P3	ENSG00000226254
FOLH1	ENSG00000086205
C11orf71	ENSG00000180425
GLRX3	ENSG00000108010
TRMT44	ENSG00000155275
SEM1	ENSG00000127922
CLDN12	ENSG00000157224
IDI2	ENSG00000148377
FAM91A1	ENSG00000176853
MTCO2P25	ENSG00000230654
MTCO1P25	ENSG00000229031
CANT1	ENSG00000171302
GTPBP4	ENSG00000107937
GNAT2	ENSG00000134183
GSR	ENSG00000104687
CLSPN	ENSG00000092853
KRT14	ENSG00000186847
MYMX	ENSG00000262179
THUMPD1P1	ENSG00000215317
GRIA2	ENSG00000120251
OR1AB1P	ENSG00000267450
LEPROT	ENSG00000213625
IMPAD1	ENSG00000104331
PEX16	ENSG00000121680
ACOX3	ENSG00000087008
FAM183A	ENSG00000186973
LINC01958	ENSG00000283436
PROB1	ENSG00000228672
GNAI3	ENSG00000065135
LINC01855	ENSG00000267517
KRT18P48	ENSG00000217889
CRHR2	ENSG00000106113
SEMA3E	ENSG00000170381
LRGUK	ENSG00000155530
KRT16	ENSG00000186832
GOT1L1	ENSG00000169154
PHLDA3	ENSG00000174307
TRA2B	ENSG00000136527
IGFALS	ENSG00000099769
BRCC3	ENSG00000185515
PRSS36	ENSG00000178226
LCAL1	ENSG00000286042
GRAMD2A	ENSG00000175318
NUBP2	ENSG00000095906
ADRB3	ENSG00000188778
SPATA24	ENSG00000170469
RND3	ENSG00000115963
RIBC2	ENSG00000128408
LINC02482	ENSG00000251580
RPS10P7	ENSG00000223396
AMPD2	ENSG00000116337
CSRP1	ENSG00000159176
ARAP1-AS2	ENSG00000245148
ECM1	ENSG00000143369
NCOA4P2	ENSG00000249934
IDI2-AS1	ENSG00000232656
ADAMTS8	ENSG00000134917
FAM83C	ENSG00000125998
IDI1	ENSG00000067064
FAM83C-AS1	ENSG00000235214
ZNF570	ENSG00000171827
PYURF	ENSG00000145337
CDK14	ENSG00000058091
SLC26A10	ENSG00000135502
FAIM2	ENSG00000135472
C2orf78	ENSG00000187833
ICA1	ENSG00000003147
TULP1	ENSG00000112041
VDAC1P2	ENSG00000213856
PIGY	ENSG00000255072
SALL1P1	ENSG00000227391
KIAA1522	ENSG00000162522
PAGE1	ENSG00000068985
KCNRG	ENSG00000198553
MFHAS1	ENSG00000147324
ZNF569	ENSG00000196437
LINC01499	ENSG00000255171
LTN1	ENSG00000198862
LINC02646	ENSG00000236303
FN3KRP	ENSG00000141560
FAR2	ENSG00000064763
RUNDC3A	ENSG00000108309
KIRREL2	ENSG00000126259
LINC02106	ENSG00000251573
ARHGEF12	ENSG00000196914
PIP5K1A	ENSG00000143398
MTCP1	ENSG00000214827
DNM1P47	ENSG00000259660
MINDY4	ENSG00000106125
RPL17P46	ENSG00000239689
HNRNPA3P16	ENSG00000267233
ARHGEF25	ENSG00000240771
GOLGA8VP	ENSG00000259236
MRO	ENSG00000134042
ISL1	ENSG00000016082
ARF6	ENSG00000165527
ALG1L5P	ENSG00000226943
CMC4	ENSG00000182712
LINC02396	ENSG00000258135
AQP1	ENSG00000240583
DPAGT1	ENSG00000172269
PIGY-DT	ENSG00000285122
TNFRSF25	ENSG00000215788
HERC3	ENSG00000138641
RPLP0P7	ENSG00000238069
TMEM87B	ENSG00000153214
CDK7P1	ENSG00000213194
LINC002481	ENSG00000246526
ERI1	ENSG00000104626
LINC02046	ENSG00000242440
ZNF280C	ENSG00000056277
S100P	ENSG00000163993
RPL38P1	ENSG00000241993
LINC02636	ENSG00000224222
CBFA2T3	ENSG00000129993
C8orf87	ENSG00000279847
MRFAP1L1	ENSG00000178988
DBIP1	ENSG00000218748
RUNDC3A-AS1	ENSG00000267750
BLOC1S4	ENSG00000186222
BTBD3	ENSG00000132640
MEX3B	ENSG00000183496
OR4F6	ENSG00000184140
KYNU	ENSG00000115919
ERGIC2	ENSG00000087502
OR4F15	ENSG00000182854
EME2	ENSG00000197774
OR4F14P	ENSG00000232459
INMT-MINDY4	ENSG00000254959
EBNA1BP2	ENSG00000117395
HACE1	ENSG00000085382
TAF3	ENSG00000165632
PTPN11	ENSG00000179295
INMT	ENSG00000241644
LINC02395	ENSG00000257771
DLGAP1-AS4	ENSG00000263878
ZCCHC12	ENSG00000174460
HRC	ENSG00000130528
B4GALNT1	ENSG00000135454
DLGAP1-AS2	ENSG00000262001
NRG1-IT3	ENSG00000254049
HNRNPK	ENSG00000165119
NRG1-IT1	ENSG00000253974
GAPDHP66	ENSG00000250933
NELL1	ENSG00000165973
OR4F13P	ENSG00000214344
TSN	ENSG00000211460
DLGAP1	ENSG00000170579
RPL30P10	ENSG00000243050
KIAA0232	ENSG00000170871
PHTF1	ENSG00000116793
NAP1L5	ENSG00000177432
TMEM125	ENSG00000179178
FAM86LP	ENSG00000242731
MARCKS	ENSG00000277443
LINC01588	ENSG00000214900
LINC01268	ENSG00000227502
ZDHHC13	ENSG00000177054
NUDT3	ENSG00000272325
CFAP57	ENSG00000243710
SERAC1	ENSG00000122335
GTPBP10	ENSG00000105793
C2CD2L	ENSG00000172375
FER1L6-AS2	ENSG00000253868
RPS10	ENSG00000124614
FER1L6	ENSG00000214814
KRT83	ENSG00000170523
MYBPC3	ENSG00000134571
AGTR1	ENSG00000144891
HINT1P1	ENSG00000231531
ARF1P3	ENSG00000253885
FER1L6-AS1	ENSG00000181171
APLP1	ENSG00000105290
OR4F28P	ENSG00000257109
GALNT5	ENSG00000136542
RPL6	ENSG00000089009
PPIAL4A	ENSG00000263353
PDLIM1P1	ENSG00000270788
LINC00623	ENSG00000226067
C1GALT1	ENSG00000106392
CETP	ENSG00000087237
KRT89P	ENSG00000274928
KRT85	ENSG00000135443
OGFOD3	ENSG00000181396
CLCN1	ENSG00000188037
RAB1B	ENSG00000174903
RBMS1	ENSG00000153250
S100PBP	ENSG00000116497
ASMT	ENSG00000196433
LINC01823	ENSG00000224655
TH	ENSG00000180176
ERGIC3	ENSG00000125991
LINC01826	ENSG00000232740
CNIH2	ENSG00000174871
HIST2H2BA	ENSG00000223345
FCGR1B	ENSG00000198019
LINC01602	ENSG00000205293
EMC2	ENSG00000104412
TUBBP10	ENSG00000226147
RPL26P26	ENSG00000242595
YARS	ENSG00000134684
SCP2	ENSG00000116171
FAM110B	ENSG00000169122
PIP4P2	ENSG00000155099
YIF1A	ENSG00000174851
LINC01285	ENSG00000203650
HNRNPA1P34	ENSG00000213049
VDAC2P2	ENSG00000255776
KANK4	ENSG00000132854
LINC00612	ENSG00000214851
WBP1LP5	ENSG00000259454
AQP5	ENSG00000161798
ERMN	ENSG00000136541
OR4F4	ENSG00000177693
CCL2	ENSG00000108691
OR4G2P	ENSG00000183909
SPECC1	ENSG00000128487
OR4G6P	ENSG00000275771
AQP2	ENSG00000167580
KLF8P1	ENSG00000260726
RPL35P2	ENSG00000220583
SMIM29	ENSG00000186577
SH3TC2-DT	ENSG00000250072
IFI44	ENSG00000137965
HNRNPKP3	ENSG00000251557
SOX15	ENSG00000129194
VCPKMT	ENSG00000100483
PICALM	ENSG00000073921
FBLN7	ENSG00000144152
ZC3HAV1	ENSG00000105939
TPM4	ENSG00000167460
CD68	ENSG00000129226
OTUD6B-AS1	ENSG00000253738
CYBC1	ENSG00000178927
BEX4	ENSG00000102409
LINC01816	ENSG00000231327
ZNF101	ENSG00000181896
MARK2P4	ENSG00000250372
SENP3-EIF4A1	ENSG00000277957
SELENOKP1	ENSG00000267319
OR4R3P	ENSG00000254624
OR4C13	ENSG00000258817
PRC1	ENSG00000198901
NPHS1	ENSG00000161270
EIF4A1	ENSG00000161960
MOGAT3	ENSG00000106384
ZCCHC24	ENSG00000165424
RPS10-NUDT3	ENSG00000270800
ZFP30	ENSG00000120784
RPF2P1	ENSG00000225357
TPRX1P1	ENSG00000259021
TSR2	ENSG00000158526
TMPRSS3	ENSG00000160183
USO1	ENSG00000138768
RASSF6	ENSG00000169435
LONRF3	ENSG00000175556
CD163L1	ENSG00000177675
EIF5AL1	ENSG00000253626
GABRA1	ENSG00000022355
KLRC2	ENSG00000205809
CBLB	ENSG00000114423
RPS12P18	ENSG00000232965
FGD1	ENSG00000102302
NDUFB4P5	ENSG00000226114
DYSF	ENSG00000135636
FEM1C	ENSG00000145780
RGPD1	ENSG00000187627
IPO9	ENSG00000198700
LINC01920	ENSG00000236049
NCAM2	ENSG00000154654
LINC02612	ENSG00000224048
TCEAL8	ENSG00000180964
DUSP9	ENSG00000130829
HSDL1	ENSG00000103160
MTND4LP25	ENSG00000260067
KLRC3	ENSG00000205810
ZNF793-AS1	ENSG00000266916
CBLN1	ENSG00000102924
ZNF607	ENSG00000198182
DGAT2L7P	ENSG00000205267
SLC35B4	ENSG00000205060
RPSAP46	ENSG00000213394
CNOT11	ENSG00000158435
CD8B	ENSG00000172116
TPM3	ENSG00000143549
ZC3H8	ENSG00000144161
KLRC1	ENSG00000134545
RASA1	ENSG00000145715
ALG2	ENSG00000119523
ZNF571-AS1	ENSG00000267470
SNHG9	ENSG00000255198
ROBO3	ENSG00000154134
CD163	ENSG00000177575
RPL18AP16	ENSG00000237793
H2AFY2	ENSG00000099284
FALEC	ENSG00000228126
C11orf68	ENSG00000175573
MAF	ENSG00000178573
TMED7	ENSG00000134970
NAV1	ENSG00000134369
RPS14	ENSG00000164587
FABP5P10	ENSG00000213201
RBM43	ENSG00000184898
ZNF540	ENSG00000171817
TMED7-TICAM2	ENSG00000251201
HKDC1	ENSG00000156510
AIFM2	ENSG00000042286
ANKRD30B	ENSG00000180777
VPS33B-DT	ENSG00000214432
CCDC144CP	ENSG00000154898
TICAM2	ENSG00000243414
ACTR3BP3	ENSG00000260327
CD6	ENSG00000013725
AQP6	ENSG00000086159
RNF151	ENSG00000179580
UPF3AP2	ENSG00000214832
VPS33B	ENSG00000184056
ADAMTSL4-AS1	ENSG00000203804
KCTD9P1	ENSG00000225014
PAGE4	ENSG00000101951
MCL1	ENSG00000143384
PLGLB1	ENSG00000183281
LYPLA2	ENSG00000011009
SEC61B	ENSG00000106803
ABCF2P1	ENSG00000242159
PGAM1P12	ENSG00000250825
WNT4	ENSG00000162552
ZNF781	ENSG00000196381
CSNKA2IP	ENSG00000283434
RACGAP1	ENSG00000161800
RAD23BP2	ENSG00000230244
MEP1AP1	ENSG00000283246
MAPK6P1	ENSG00000206144
UMLILO	ENSG00000228277
HMCN2	ENSG00000148357
PPIAP34	ENSG00000234397
ADAMTSL4	ENSG00000143382
STAMBP	ENSG00000124356
KCNK5	ENSG00000164626
HOXB-AS4	ENSG00000242207
ZNF571	ENSG00000180479
HOXB8	ENSG00000120068
CXCL8	ENSG00000169429
BRD4	ENSG00000141867
ATP6AP1L	ENSG00000205464
HOXB7	ENSG00000260027
DNAAF1	ENSG00000154099
ANAPC1P1	ENSG00000233673
FAM92A	ENSG00000188343
HOXB9	ENSG00000170689
ZNF793	ENSG00000188227
NFIX	ENSG00000008441
GLRXP3	ENSG00000118990
ADAMTS15	ENSG00000166106
HMGB3P7	ENSG00000215399
RPL36P4	ENSG00000224497
FGF14	ENSG00000102466
AZIN2	ENSG00000142920
MARK2P10	ENSG00000227284
TNNT1	ENSG00000105048
RPL5P16	ENSG00000240411
NDUFA5P5	ENSG00000242365
LINC01338	ENSG00000281327
ICE2P2	ENSG00000242705
FAM149B1P1	ENSG00000214424
TAF1C	ENSG00000103168
ST13P12	ENSG00000248400
GAPDHP50	ENSG00000241861
DIPK1A	ENSG00000154511
LIPT1P1	ENSG00000229975
LINC01471	ENSG00000239921
NDST1	ENSG00000070614
RPL39P29	ENSG00000236860
ITGBL1	ENSG00000198542
LINC02034	ENSG00000282975
RPL12P48	ENSG00000270865
BNIP2	ENSG00000140299
PA2G4P2	ENSG00000235698
LINC01723	ENSG00000234265
FAM138E	ENSG00000248893
RPL5	ENSG00000122406
LINC01722	ENSG00000233048
PPEF2	ENSG00000156194
TPRA1	ENSG00000163870
NDST1-AS1	ENSG00000254333
PRKCSH	ENSG00000130175
C16orf78	ENSG00000166152
SMIM28	ENSG00000262543
SEPT7P9	ENSG00000120555
DLGAP1-AS5	ENSG00000261520
NAA16	ENSG00000172766
CCL7	ENSG00000108688
WASH3P	ENSG00000185596
LINC01229	ENSG00000260876
DLGAP1-AS1	ENSG00000177337
PRC1-AS1	ENSG00000258725
SUCLA2P2	ENSG00000233107
LINC02179	ENSG00000261623
LINC01228	ENSG00000261082
MAFTRR	ENSG00000261390
TIA1	ENSG00000116001
NHSL1	ENSG00000135540
TMEM74	ENSG00000164841
CCL11	ENSG00000172156
DLGAP1-AS3	ENSG00000263724
ADGRL4	ENSG00000162618
TRMT10BP1	ENSG00000253580
